id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
3413,HD 74156 b,188,1.67333 Jupiters,7.61,2003
3414,HD 74156 c,188,9.10703 Jupiters,7.61,2003
3415,HD 7449 b,126,8.34612 Jupiters,7.5,2011
3416,HD 75289 b,95,0.49 Jupiters,6.35,1999
3417,HD 75784 b,279,1 Jupiter,7.84,2014
3418,HD 75784 c,279,5.64 Jupiters,7.84,2018
3419,HD 75898 b,255,2.71 Jupiters,8.03,2007
3420,HD 76700 b,199,0.21 Jupiters,8.16,2002
3421,HD 76920 b,600,3.93 Jupiters,7.83,2017
3422,HD 77338 b,150,15.9 Earths,8.63,2012
3423,HD 79181 b,337,0.64 Jupiters,5.72,2021
3424,HD 7924 b,55,6.3566 Earths,7.17896,2008
3425,HD 70642 b,95,1.993 Jupiters,7.17,2003
3426,HD 7199 b,118,0.27 Jupiters,8.06,2011
3427,HD 72490 b,412,1.768 Jupiters,7.82,2018
3428,HD 72659 b,169,3.37143 Jupiters,7.46,2002
3429,HD 72659 c,169,18.71468 Jupiters,7.46,2022
3430,HD 72892 b,227,5.46348 Jupiters,8.83,2016
3431,HD 73267 b,164,4.17014 Jupiters,8.9,2008
3432,HD 73267 c,164,5.40071 Jupiters,8.9,2022
3433,HD 73526 b,317,3.08 Jupiters,8.99,2002
3434,HD 73526 c,317,2.25 Jupiters,8.99,2005
3435,HD 73534 b,272,1.112 Jupiters,8.23,2008
3436,HD 73583 b,103,10.2 Earths,9.67,2022
3437,HD 73583 c,103,9.7 Earths,9.67,2022
3438,HD 74156 b,188,1.67333 Jupiters,7.61,2003
3439,HD 74156 c,188,9.10703 Jupiters,7.61,2003
3440,HD 7449 b,126,8.34612 Jupiters,7.5,2011
3441,HD 75289 b,95,0.49 Jupiters,6.35,1999
3442,HD 75784 b,279,1 Jupiter,7.84,2014
3443,HD 75784 c,279,5.64 Jupiters,7.84,2018
3444,HD 75898 b,255,2.71 Jupiters,8.03,2007
3445,HD 76700 b,199,0.21 Jupiters,8.16,2002
3446,HD 76920 b,600,3.93 Jupiters,7.83,2017
3447,HD 77338 b,150,15.9 Earths,8.63,2012
3448,HD 79181 b,337,0.64 Jupiters,5.72,2021
3449,HD 7924 b,55,6.3566 Earths,7.17896,2008
3450,HD 70642 b,95,1.993 Jupiters,7.17,2003
3451,HD 7199 b,118,0.27 Jupiters,8.06,2011
3452,HD 72490 b,412,1.768 Jupiters,7.82,2018
3453,HD 72659 b,169,3.37143 Jupiters,7.46,2002
3454,HD 72659 c,169,18.71468 Jupiters,7.46,2022
3455,HD 72892 b,227,5.46348 Jupiters,8.83,2016
3456,HD 73267 b,164,4.17014 Jupiters,8.9,2008
3457,HD 73267 c,164,5.40071 Jupiters,8.9,2022
3458,HD 73526 b,317,3.08 Jupiters,8.99,2002
3459,HD 73526 c,317,2.25 Jupiters,8.99,2005
3460,HD 73534 b,272,1.112 Jupiters,8.23,2008
3461,HD 73583 b,103,10.2 Earths,9.67,2022
3462,HD 73583 c,103,9.7 Earths,9.67,2022
3463,HD 74156 b,188,1.67333 Jupiters,7.61,2003
3464,HD 74156 c,188,9.10703 Jupiters,7.61,2003
3465,HD 7449 b,126,8.34612 Jupiters,7.5,2011
3466,HD 75289 b,95,0.49 Jupiters,6.35,1999
3467,HD 75784 b,279,1 Jupiter,7.84,2014
3468,HD 75784 c,279,5.64 Jupiters,7.84,2018
3469,HD 75898 b,255,2.71 Jupiters,8.03,2007
3470,HD 76700 b,199,0.21 Jupiters,8.16,2002
3471,HD 76920 b,600,3.93 Jupiters,7.83,2017
3472,HD 77338 b,150,15.9 Earths,8.63,2012
3473,HD 79181 b,337,0.64 Jupiters,5.72,2021
3474,HD 7924 b,55,6.3566 Earths,7.17896,2008
3475,HD 70642 b,95,1.993 Jupiters,7.17,2003
3476,HD 7199 b,118,0.27 Jupiters,8.06,2011
3477,HD 72490 b,412,1.768 Jupiters,7.82,2018
3478,HD 72659 b,169,3.37143 Jupiters,7.46,2002
3479,HD 72659 c,169,18.71468 Jupiters,7.46,2022
3480,HD 72892 b,227,5.46348 Jupiters,8.83,2016
3481,HD 73267 b,164,4.17014 Jupiters,8.9,2008
3482,HD 73267 c,164,5.40071 Jupiters,8.9,2022
3483,HD 73526 b,317,3.08 Jupiters,8.99,2002
3484,HD 73526 c,317,2.25 Jupiters,8.99,2005
3485,HD 73534 b,272,1.112 Jupiters,8.23,2008
3486,HD 73583 b,103,10.2 Earths,9.67,2022
3487,HD 73583 c,103,9.7 Earths,9.67,2022
3488,HD 74156 b,188,1.67333 Jupiters,7.61,2003
3489,HD 74156 c,188,9.10703 Jupiters,7.61,2003
3490,HD 7449 b,126,8.34612 Jupiters,7.5,2011
3491,HD 75289 b,95,0.49 Jupiters,6.35,1999
3492,HD 75784 b,279,1 Jupiter,7.84,2014
3493,HD 75784 c,279,5.64 Jupiters,7.84,2018
3494,HD 75898 b,255,2.71 Jupiters,8.03,2007
3495,HD 76700 b,199,0.21 Jupiters,8.16,2002
3496,HD 76920 b,600,3.93 Jupiters,7.83,2017
3497,HD 77338 b,150,15.9 Earths,8.63,2012
3498,HD 79181 b,337,0.64 Jupiters,5.72,2021
3499,HD 7924 b,55,6.3566 Earths,7.17896,2008
3500,HD 7924 c,55,7.86 Earths,7.17896,2015
3501,HD 7924 d,55,6.44 Earths,7.17896,2015
3502,HD 79498 b,160,1.34 Jupiters,8.05,2011
3503,HD 80606 b,217,4.38 Jupiters,9.06,2001
3504,HD 80653 b,358,5.6 Earths,9.452,2020
3505,HD 80869 b,279,5.65664 Jupiters,8.48,2021
3506,HD 80883 b,113,5.47697 Jupiters,8.6,2022
